"Veteran Suicides by State of Death, 2001-2021",,,
"Year
of
Death","Geographic
Region",State of Death,"Veteran
Suicides"
2013,Southern,Virginia,189
2013,Southern,West Virginia,70
2013,Western,Alaska,20
2013,Western,Arizona,236
2013,Western,California,537
2013,Western,Colorado,155
2013,Western,Hawaii,28
2013,Western,Idaho,56
2013,Western,Montana,30
2013,Western,Nevada,112
2013,Western,New Mexico,65
2013,Western,Oregon,138
2013,Western,Utah,67
2013,Western,Washington,175
2013,Western,Wyoming,31
2013,All,U.S. Total,"6,501"
2014,Northeastern,Connecticut,44
2014,Northeastern,Maine,49
2014,Northeastern,Massachusetts,63
2014,Northeastern,New Hampshire,35
2014,Northeastern,New Jersey,83
2014,Northeastern,New York,201
2014,Northeastern,Pennsylvania,286
2014,Northeastern,Rhode Island,14
2014,Northeastern,Vermont,20
2014,Midwestern,Illinois,183
2014,Midwestern,Indiana,121
2014,Midwestern,Iowa,72
2014,Midwestern,Kansas,71
2014,Midwestern,Michigan,205
2014,Midwestern,Minnesota,96
2014,Midwestern,Missouri,186
2014,Midwestern,Nebraska,53
2014,Midwestern,North Dakota,17
2014,Midwestern,Ohio,237
2014,Midwestern,South Dakota,24
2014,Midwestern,Wisconsin,126
2014,Southern,Alabama,116
2014,Southern,Arkansas,92
2014,Southern,Delaware,22
2014,Southern,District of Columbia,<10
2014,Southern,Florida,548
2014,Southern,Georgia,172
2014,Southern,Kentucky,130
2014,Southern,Louisiana,104
2014,Southern,Maryland,81
2014,Southern,Mississippi,62
2014,Southern,North Carolina,208
2014,Southern,Oklahoma,130
2014,Southern,South Carolina,118
2014,Southern,Tennessee,151
2014,Southern,Texas,481
2014,Southern,Virginia,177
2014,Southern,West Virginia,64
2014,Western,Alaska,31
2014,Western,Arizona,246
2014,Western,California,621
2014,Western,Colorado,170
2014,Western,Hawaii,24
2014,Western,Idaho,49
2014,Western,Montana,50
2014,Western,Nevada,108
2014,Western,New Mexico,85
2014,Western,Oregon,132
2014,Western,Utah,73
2014,Western,Washington,185
2014,Western,Wyoming,23
2014,All,U.S. Total,"6,645"
2015,Northeastern,Connecticut,44
2015,Northeastern,Maine,54
2015,Northeastern,Massachusetts,69
2015,Northeastern,New Hampshire,32
2015,Northeastern,New Jersey,75
2015,Northeastern,New York,168
2015,Northeastern,Pennsylvania,264
2015,Northeastern,Rhode Island,16
2015,Northeastern,Vermont,20
2015,Midwestern,Illinois,164
2015,Midwestern,Indiana,113
2015,Midwestern,Iowa,68
2015,Midwestern,Kansas,73
2015,Midwestern,Michigan,195
2015,Midwestern,Minnesota,81
2015,Midwestern,Missouri,187
2015,Midwestern,Nebraska,26
2015,Midwestern,North Dakota,21
2015,Midwestern,Ohio,242
2015,Midwestern,South Dakota,27
2015,Midwestern,Wisconsin,121
2015,Southern,Alabama,137
2015,Southern,Arkansas,101
2015,Southern,Delaware,12
2015,Southern,District of Columbia,<10
2015,Southern,Florida,596
2015,Southern,Georgia,200
2015,Southern,Kentucky,133
2015,Southern,Louisiana,100
2015,Southern,Maryland,84
2015,Southern,Mississippi,66
2015,Southern,North Carolina,227
2015,Southern,Oklahoma,134
2015,Southern,South Carolina,126
2015,Southern,Tennessee,157
2015,Southern,Texas,533
2015,Southern,Virginia,185
2015,Southern,West Virginia,61
2015,Western,Alaska,27
2015,Western,Arizona,224
2015,Western,California,553
2015,Western,Colorado,171
2015,Western,Hawaii,27
2015,Western,Idaho,61
